state,state_code,state_abbreviation,capital,lat_centroid,lon_centroid,neighboring_states,federal_region,census_region,census_division,population_2019,population_2010,percentage_us_population,house_representatives_2019,democrat_1972,democrat_1976,democrat_1980,democrat_1984,democrat_1988,democrat_1992,democrat_1996,democrat_2000,democrat_2004,democrat_2008,democrat_2012,democrat_2016,democrat_state,below poverty,unemployed,per capita income,no high school diploma,ep_age65,ep_age17,ep_disabl,single parent household,minority non-white non-hispanic,speak eng less than well,housing in 10plus units,mobile homes,housing with more ppl than rooms,no vehicle,group quarters,percentile pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,socioeconomic theme percentile,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,household composition theme percentile,epl_minrty,epl_limeng,spl_theme3,minority theme percentile,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,household transport percentile,spl_themes,rpl_themes,ep_uninsur,extraversion,agreeableness,conscientiousness,neuroticism,openness,density_2015,population_2015,homicide rate (2017),gdp per capita (2017),high school or higher,bachelor or higher,advanced degree,stress score,work-related stress rank,money-related stress rank,family-related stress rank,health- & safety-related stress rank,political engagement score,fun score,entertainment & recreation rank,nightlife rank,fraud score,identity theft rank,fraud rank,policy rank,financial literacy score,walletliteracy rank,financial planning & habits rank,financial knowledge & education rank,termperature,age-adjusted death rate (suicide),marriage rate,sexual satisfaction,romantic communication,openness to love,gift spend,overall happiness,opm,mdi,diff,employment change (2013),vacancy rate (2013),unemployment rate (2013),median family income (2013),economic health index (2013),income segregation (2013),% 16-19 not in school (2013),rent burden (2013),working poor (2013),economic inclusion index (2013),racial segregation (2013),homeowner gap (2013),education gap (2013),poverty gap (2013),percent person of color (2013),racial inclusion index (2013),overall inclusion index (2013),happiness,gini-coefficient,firearm death rate,cultural tightness,charity score,volunteering & service rank,charitable giving rank,"correctional supervision rate per 100,000 ages 18 or older/b","correctional supervision rate per 100,000 u.s. residents of all ages/b","community supervision rate per 100,000 u.s. residents ages 18 or older","community supervision rate per 100,000 u.s. residents of all ages/b","incarceration rate per 100,000 u.s. residents ages 18 or older","incarceration rate per 100,000 u.s. residents of all ages",health_insurance_Employer,health_insurance_Non-Group,health_insurance_Medicaid,health_insurance_Medicare,health_insurance_Military,health_insurance_Uninsured
Georgia,GA,Ga,Atlanta,33.040619,-83.643074,AL;FL;NC;SC;TN,4,3,5,10617423,9687653,0.0318,14,0,1,1,0,0,1,0,0,0,0,0,0,0,21.7345912,9.110062893,21334.98113,19.03333333,15.63836478,23.32515723,16.22389937,10.31383648,37.12641509,1.691823899,2.979245283,22.5081761,2.424528302,7.57672956,4.201257862,0.723825786,0.68812327,0.710519497,0.723258491,2.845732076,0.748058491,0.359593082,0.593578616,0.545579245,0.687395598,2.186144025,0.604957862,0.731590566,0.566947799,1.298531447,0.673371069,0.371718868,0.721834591,0.560992453,0.594936478,0.468940252,2.718420755,0.600816981,9.048835849,0.726625786,16.79874214,63.2,60,68.8,38,56.9,68,10214860,6.7,43913,0.863,0.299,0.114,46.53,16,10,23,22,35.41,38.56,22,26,56.36,23,10,27,59.8,37,32,22,63.5,13.3,6.8,0.05,2,2.91,68,623,14.9,16,1.1,0.170782545,0.148788857,0.11400108,50615.16667,-0.640666667,0.151166667,5.22,48.24,4.058333333,-0.535,44.065,19.91333333,11.89666667,17.73166667,58.43166667,-0.118666667,-0.303833333,62.3,0.4813,15,60.26,69.2,29,2,,,,,1160,880,0.49,0.06,0.17,0.12,0.02,0.14
Hawaii,HI,Hawai,Honolulu,21.094318,-157.498337,CA,9,4,9,1415872,1360301,0.0043,2,0,1,1,0,1,1,1,1,1,1,1,1,1,12.1,4.72,32644.6,8.62,17.86,17.92,12.94,5.98,71.66,4.02,15.22,0.2,6.98,8.14,4.08,0.28024,0.29562,0.16548,0.1996,0.94098,0.19282,0.5171,0.35274,0.28214,0.29112,1.4431,0.1663,0.97014,0.86958,1.83974,0.95086,0.90296,0.007,0.7826,0.55798,0.54678,2.79734,0.61744,7.02114,0.41848,6.42,,,,,,86,1431603,2.7,50320,0.916,0.32,0.108,35.71,21,39,38,49,23.08,38.32,19,36,36.79,48,50,41,55.82,33,22,50,70,12.1,15.6,0.03,2,2.77,102,652,9.5,10.1,0.5,,,,,,,,,,,,,,,,,,58.9,0.442,4.5,36.49,54.92,49,44,2450,1920,1950,1530,500,390,0.55,0.05,0.17,0.15,0.05,0.04
Idaho,ID,Idah,Boise,44.240459,-114.478828,MT;NV;OR;UT;WA;WY,10,4,8,1792065,1567582,0.0053,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.20227273,6.243181818,22381.13636,12.43636364,17.09772727,25.48409091,15.45909091,7.402272727,16.68863636,2.990909091,3.456818182,12.36818182,3.452272727,3.925,1.915909091,0.50395,0.417611364,0.642456818,0.4146,1.978629546,0.500090909,0.472622727,0.674181818,0.480920455,0.382506818,2.010245455,0.5008,0.457822727,0.589747727,1.047565909,0.528915909,0.431829546,0.527029546,0.692404546,0.216615909,0.346252273,2.214122727,0.367025,7.250552273,0.461977273,15.87727273,40.7,52.9,44.5,44.2,44.7,7,1654930,1.9,35467,0.902,0.268,0.085,39.3,48,11,45,23,38.41,32.05,31,34,45.48,37,43,5,59.01,45,10,26,44.4,21.4,8.1,0.05,4,2.88,111,627,12.8,11.2,-1.6,0.097073443,0.046784639,0.07246352,68840,0.43,0.104,3.92,41.05,1.66,0.558,16.271,21.2,12.49,9.16,16.41,0.124,0.317,62.8,0.4503,14.6,45.5,63.73,21,30,3880,2870,2980,2210,900,670,0.47,0.09,0.17,0.15,0.02,0.11
Illinois,IL,Ill,Springfield,40.349457,-88.986137,IA;IN;KY;MO;WI,5,2,3,12671821,12830632,0.0385,18,0,0,0,0,0,1,1,1,1,1,1,1,1,14.13235294,7.325490196,26170.39216,11.15,17.78431373,21.90784314,14.61764706,8.360784314,12.74803922,0.934313726,4.399019608,8.117647059,1.523529412,6.242156863,4.082352941,0.397487255,0.53735,0.405331373,0.370387255,1.710561765,0.41939902,0.542076471,0.432102941,0.415929412,0.491020588,1.881135294,0.431443137,0.340109804,0.388959804,0.729065686,0.349630392,0.522423529,0.347715686,0.346463726,0.49715098,0.526066667,2.239819608,0.397428431,6.560588235,0.364836275,7.592156863,62.5,48.3,50.9,51.2,55.2,89,12859995,7.8,53432,0.886,0.334,0.13,43.35,9,22,29,34,48.36,47.39,12,3,59.39,5,40,18,62.97,13,30,11,51.8,10.7,5.4,0.04,4,2.87,55,616,12.6,20.5,7.9,0.140548281,0.086080501,0.098182457,70988,0.082375,0.133875,5.6875,42.21375,2.79625,-0.0425,39.685875,25.7925,18.57125,14.88375,47.85125,-0.393875,-0.23775,61.7,0.481,11.7,45.95,62.99,37,16,2070,1600,1450,1120,620,480,0.54,0.06,0.19,0.13,0.01,0.07
Indiana,IN,Ind,Indianapolis,39.849426,-86.258278,IL;KY;MI;OH,5,2,3,6732219,6483802,0.0202,9,0,0,0,0,0,0,0,0,0,1,0,0,0,13.54891304,6.306521739,24787.68478,12.67282609,16.14782609,23.42173913,14.89456522,8.570652174,9.011956522,0.808695652,4.263043478,8.145652174,1.729347826,5.826086957,2.74673913,0.36963913,0.428445652,0.492192391,0.457303261,1.74758587,0.431795652,0.397544565,0.589195652,0.449886957,0.519288044,1.955904348,0.467083696,0.263927174,0.399672826,0.663594565,0.31173913,0.550967391,0.353929348,0.411281522,0.426038044,0.440247826,2.182459783,0.366870652,6.549541304,0.3605,11.36847826,48.9,50.2,56.2,59.3,44.9,71,6619680,6,44797,0.883,0.253,0.092,45.72,33,19,16,13,31.25,29.25,39,28,42.35,47,24,27,59,17,43,33,51.7,15.4,6.9,0.06,2,2.96,80,605,13.5,15.4,1.9,-0.050170578,0.148882596,0.113972602,45388.66667,-0.9375,0.112,7.79,45.34166667,4.045,-0.476833333,47.22233333,26.49333333,9.66,16.91666667,48.16666667,-0.363666667,-0.414166667,60.5,0.4527,15,54.57,60.5,28,43,3150,2400,2300,1760,850,650,0.54,0.05,0.18,0.15,0.01,0.08
Iowa,IA,Iow,Des Moines,42.011539,-93.210526,IL;MN;MO;NE;SD;WI,7,2,4,3155070,3046355,0.0095,4,0,0,0,0,1,1,1,1,0,1,1,0,0,11.81818182,4.250505051,27360.37374,8.880808081,18.91616162,23.03737374,12.97272727,7.706060606,8.304040404,1.152525253,4.71010101,4.073737374,1.405050505,5.361616162,3.109090909,0.267807071,0.195092929,0.311120202,0.22609495,1.000112121,0.207889899,0.63019495,0.556548485,0.292530303,0.398664647,1.877929293,0.424156566,0.24309798,0.455607071,0.698708081,0.329569697,0.577881818,0.175936364,0.301383838,0.399361616,0.562470707,2.017032323,0.295509091,5.593783838,0.226129293,6.897979798,62.8,56.6,52.2,49.1,33.7,21,3123899,3.3,50086,0.918,0.277,0.09,33.73,41,46,37,44,39.14,30.82,40,19,39.25,42,49,41,61.66,29,20,19,47.8,14.6,6.1,0.04,3,2.87,50,626,10.7,9.3,-1.5,0.037124459,0.079450188,0.064607279,62800.33333,0.164333333,0.089,3.34,38.79666667,2.83,0.616333333,27.906,29.06,14.68,17.90666667,23.78333333,-0.532,-0.022,62.6,0.4451,9.2,49.02,62.48,22,34,1940,1490,1460,1120,560,430,0.54,0.05,0.19,0.15,0.01,0.05
Kansas,KS,Kans,Topeka,38.5266,-96.726486,CO;MO;NE;OK,7,2,4,2913314,2853118,0.0088,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52761905,4.344761905,25430.62857,10.59428571,18.93428571,23.79809524,14.77238095,7.148571429,14.93047619,1.787619048,3.562857143,7.850476191,1.742857143,4.52952381,3,0.315058095,0.222250476,0.437015238,0.303492381,1.277816191,0.289613333,0.604692381,0.602596191,0.439182857,0.341487619,1.987953333,0.493907619,0.404700952,0.469371429,0.87406381,0.426794286,0.473239048,0.342434286,0.375692381,0.303008571,0.521594286,2.015970476,0.307081905,6.155813333,0.304114286,10.15428571,45.5,48.9,50.8,49,40.1,14,2911641,5.5,46890,0.905,0.323,0.117,38.19,19,35,46,31,39.98,28.73,38,32,42.95,40,31,41,61.21,11,38,27,54.3,17.9,6.2,0.05,1,2.94,117,618,11.9,10.6,-1.3,0.135734036,0.084973583,0.072432069,69382.4,0.2632,0.1354,4.678,38.004,2.908,0.2146,34.2884,22.65,15.322,13.074,34.442,-0.2132,-0.023,61.8,0.455,13.4,60.36,68.26,20,9,1750,1320,980,740,780,590,0.55,0.06,0.14,0.14,0.02,0.09
Kentucky,KY,Ky,Frankfort,37.66814,-84.670067,IL;IN;MO;OH;TN;VA;WV,4,3,6,4467673,4339367,0.0135,6,0,1,0,0,0,1,1,0,0,0,0,0,0,21.795,8.620833333,21318.16667,19.6425,16.27416667,22.71583333,20.28166667,8.754166667,8.019166667,0.505833333,2.548333333,19.63166667,1.985833333,7.665833333,3.0075,0.723058333,0.649961667,0.696721667,0.7356825,2.8054375,0.73211,0.405765833,0.528063333,0.734780833,0.547178333,2.215788333,0.635950833,0.242751667,0.299041667,0.541791667,0.246694167,0.361889167,0.6911925,0.484704167,0.63749,0.469326667,2.644611667,0.564481667,8.207614167,0.617965,10.51666667,53.4,48.1,51.3,62.5,43,43,4425092,5.9,38603,0.852,0.232,0.096,54.77,23,9,3,3,34.28,31,34,30,41.83,45,35,16,55.47,48,44,32,55.6,16.8,7.4,0.05,2,3,36,605,17.2,18.7,1.5,0.82194525,0.091694173,0.080114685,63980,0.7905,0.168,3.22,41.345,2.615,0.0985,39.249,29.1,10.155,16.81,29.99,-0.497,-0.232,60.5,0.4813,17.5,63.91,60.2,38,32,2850,2200,1860,1440,1010,780,0.47,0.04,0.26,0.15,0.02,0.06
Louisiana,LA,La,Baton Rouge,31.169546,-91.867805,AR;MS;TX,6,3,7,4648794,4533372,0.0141,6,0,1,0,0,0,1,1,0,0,0,0,0,0,22.0515625,8.65,22393.73438,19.3515625,14.6734375,23.9578125,16.24375,11.446875,38.0625,0.871875,2.7859375,20.7421875,2.728125,8.4234375,4.7890625,0.741546875,0.66666875,0.632614063,0.755228125,2.796060938,0.7347625,0.278060938,0.6703625,0.53961875,0.825925,2.313967188,0.689354688,0.761934375,0.451203125,1.213140625,0.625207813,0.359451563,0.744010938,0.6681375,0.683625,0.552245313,3.007473438,0.7199375,9.330645313,0.772764063,15.5765625,52.2,49.7,45,60.4,53.7,41,4670724,12.4,44293,0.843,0.234,0.081,59.94,2,3,7,4,43.31,42.78,24,5,46.48,39,22,18,51.01,49,49,48,66.4,14.2,6.1,0.06,2,2.91,53,610,19.7,21.6,1.9,0.058748236,0.120089935,0.082029741,53636,-0.30275,0.15275,6.8075,48.3725,3.4925,-0.63675,59.25375,20.5775,16.4475,19.19,58.36,-0.5305,-0.5775,61.3,0.499,21.3,65.88,56.22,48,35,3110,2370,1980,1510,1270,970,0.42,0.05,0.29,0.13,0.02,0.08
Maine,ME,Main,Augusta,44.693947,-69.381927,NH,1,1,1,1344212,1328361,0.004,2,0,0,0,0,0,1,1,1,1,1,1,1,1,14.63125,6.625,26496.125,8.6,19.7375,19.15,17.325,8.1125,5.49375,0.4125,3.6,9.51875,1.48125,7.09375,2.53125,0.4322,0.4669,0.39005,0.21215625,1.50131875,0.35905,0.68364375,0.148075,0.61640625,0.4525375,1.90066875,0.4270625,0.166825,0.299075,0.46590625,0.19548125,0.52933125,0.434525,0.345475,0.6423125,0.54808125,2.49969375,0.49343125,6.36758125,0.3303375,10.525,44.2,32.8,24,71,50.8,16,1329328,1.7,38450,0.921,0.303,0.109,41.39,29,23,34,25,69.26,30.4,33,41,40.42,49,46,5,65.09,1,19,13,41,15.9,7.6,0.05,5,2.86,36,636,11.1,10.7,-0.3,,,,,,,,,,,,,,,,,,63.7,0.4519,8.3,34,63.21,17,41,960,780,630,510,380,300,0.48,0.06,0.18,0.17,0.02,0.08
