FIPS Code,Alt FIPS Code,State,State Abbreviation,P_1a_foreignBorn,P_1b_hateCrimes,P_2a_freedomIndex,P_3a_stateEqualityRanking,P_3b_verticalLegalRestriction ,P_3c_giniCoefficient,P_4a_empLawEnforcement,P_4b_cultural_tightness ,P_4c_horizontalLegalRestriction,P_5a_republican,P_6a_politicsFriendsFamily,P_6b_politicsNeighbors,P_6c_politicsPost,P_6d_politicsMedia,P_6e_politicsVote,P_6f_politicsMeetings,P_6g_politicsOfficial,P_6h_politicsBoycott,P_6i_politicsGroup,P_6j_politicsDonate,E_1a_occupationArtistic,E_1b_occupationEnterprising,E_1c_occupationSocial,E_1d_occupationsConventional,E_1e_occupationsInvestigative,E_1f_occupationsRealistic,E_2a_gdp,E_3a_entrepreneursRates,E_3b_startUpSurvival,E_3c_opportunitySharesEntrepreneurs,E_3d_kauffmanIndex,E_3e_economicFreedomIndex,S_1a_lgbtqEquality,S_1b_lgbtqTravelIndex,S_2a_collectivism,S_3a_volunteersRatio,S_3b_volunteersHours,S_3c_neighborsFavours,S_3d_neighborhoodPositive,S_4a_donateNonPolitical,S_4b_nonProfit,S_4c_charitableContributions,S_5a_violentCrimes,S_6a_religiousVery,S_6b_religiousModerately,S_6c_religiousNon,S_6d_religiousAdherents,S_6e_religiousCongregations,S_7a_trustNeighbours,S_7b_trustGeneral,S_8a_educBachelor,S_9a_urbanPop,S_9b_fiveThirtyEightUrbanIndex,H_1a_wellBeing,H_2a_depression
13,13,Georgia,GA,10.3,102,0.183736591,12,1,0.4795,29313,60.26,51.5,0.492374739,3.597913054,5.016434188,5.247758654,2.440803048,0.470122112,0.100539973,0.088433217,0.122752454,0.210934038,0.069434794,0.014103,0.231567,0.011014,0.129528,0.042519,0.304951,50816,0.00,0.76,0.88,2.62,0.151748814,0,21,60,0.23,17,4.735032457,0.175795121,0.46018474,3.1,5.4,340.7,44,33,23,51,4.4,46.5,37.7,31.3,75.1,10.55233,62.3,0.17
15,15,Hawaii,HI,19.3,41,-0.603664264,13,0.38,0.4397,3532,36.49,85.6,0.339547142,3.454789845,5.045962199,5.346806266,2.027135009,0.462258461,0.104895663,0.089832873,0.104421797,0.261923181,0.052728349,0.014053,0.198942,0.018402,0.126644,0.030441,0.335725,58981,0.00,0.77,0.88,0.63,-0.582223513,29.75,21,91,0.22,29,4.886333494,0.170719881,0.466454512,4.2,3.2,285.5,28,27,44,41,5.2,61.8,,33,91.9,11.08621,65.2,0.12
16,16,Idaho,ID,5.8,24,0.147305533,42,0.88,0.4337,5755,45.5,43.2,0.638375648,3.627712667,4.98918566,5.224463059,2.531806886,0.400683531,0.10760897,0.106369211,0.146606273,0.305523884,0.100695224,0.010536,0.195806,0.015786,0.140607,0.036817,0.339906,40566,0.00,0.79,0.87,3.37,0.145971816,2.75,18,42,0.34,27,4.398582826,0.22046861,0.49735542,3.9,5.2,223.8,39,24,37,51,5.4,63.8,,27.6,70.6,9.593634,62.7,0.19
17,17,Illinois,IL,13.9,65,-0.02289671,36,0.75,0.48,39998,45.95,80.6,0.405534508,3.267760096,4.761395476,4.967333467,1.854738214,0.462331468,0.119800601,0.103005934,0.159563063,0.290302283,0.070229394,0.012206,0.224921,0.015106,0.135147,0.039208,0.313791,61713,0.00,0.79,0.84,-0.53,-0.120854031,30,21,52,0.25,19,4.327169622,0.221885427,0.516568859,4.2,3.3,406.9,35,29,36,55,5.2,61.8,39.6,34.7,88.5,11.62372,61.6,0.17
18,18,Indiana,IN,5.3,75,0.341682998,32,1,0.4584,11135,54.57,40.7,0.570211578,3.590516101,4.969407633,5.110659715,2.30961825,0.430922053,0.090032435,0.096981183,0.148004762,0.307215736,0.054114413,0.010889,0.181623,0.014638,0.12151,0.029759,0.341949,49321,0.00,0.80,0.90,-0.01,0.207947823,6.5,15,57,0.27,23,4.370668633,0.172307882,0.474694321,4.4,3.9,370.8,42,27,31,44,5.8,61.4,30.2,26.5,72.4,10.4105,60.5,0.2
19,19,Iowa,IA,5.6,10,0.042427399,24,0.63,0.4422,8384,49.02,57.3,0.528001976,3.577835604,4.91804681,5.04203259,1.800931952,0.481706636,0.106617797,0.113501618,0.128685047,0.294339107,0.059550536,0.011649,0.206234,0.013477,0.123805,0.034074,0.328271,55051,0.00,0.81,0.85,1.15,-0.067082154,17,21,39,0.33,19,4.339534797,0.206400551,0.494138714,7.8,3.2,266.6,37,30,32,54,9.5,68.2,,28.6,64,9.593525,62.6,0.18
20,20,Kansas,KS,7.2,78,0.215951058,41,1,0.45,10298,60.36,50.1,0.562125128,3.684129572,5.06129324,5.223899618,2.152022482,0.452108383,0.108335023,0.12520836,0.180620872,0.335616395,0.077920313,0.012064,0.196084,0.013083,0.131849,0.037324,0.331939,53528,0.00,0.76,0.88,-1.12,0.115075558,6.75,17,38,0.33,18,4.440008056,0.196692618,0.567300015,4.5,4.2,410.8,44,27,29,51,6.2,62.9,,33.4,74.2,10.12044,61.8,0.19
21,21,Kentucky,KY,4.4,146,-0.012176609,3,0.88,0.4764,9585,63.91,35,0.620865719,3.870218909,4.95770086,5.228002225,2.818368648,0.475082506,0.070276235,0.094413755,0.112768583,0.21302407,0.060529158,0.008449,0.182484,0.016589,0.135867,0.027294,0.351178,42386,0.00,0.80,0.85,-0.6,0.003673124,7.75,13,53,0.24,18,4.465601676,0.169351321,0.427771904,3.4,3.8,217.1,45,30,26,52,5.2,54.3,29.7,24.2,58.4,9.789536,60.5,0.23
22,22,Louisiana,LA,4.2,26,0.015878069,47,1,0.4978,16413,65.88,35.2,0.584608824,3.863742905,5.081773311,5.386924913,2.420517393,0.555981352,0.078097688,0.098953612,0.084295288,0.230766994,0.077112323,0.009499,0.192087,0.014851,0.130421,0.018517,0.361323,51729,0.00,0.81,0.73,0.54,-0.026264755,-2.5,16,72,0.18,12,4.460296633,0.191387599,0.476736704,3.2,5.1,549.3,52,31,17,61,4.5,53.8,,24.1,73.2,10.17518,61,0.21
23,23,Maine,ME,3.9,19,-0.059549139,20,0.38,0.449,2757,34,47.7,0.435512281,3.288948913,4.904930441,5.157717141,2.162702919,0.54739914,0.178433536,0.156378768,0.178427066,0.317725002,0.088613744,0.012402,0.195097,0.019599,0.133584,0.029021,0.355949,43541,0.00,0.79,0.88,2.22,-0.30585273,35,17,45,0.32,24,4.415201216,0.236974069,0.521459034,6.2,2.2,115.2,22,22,55,28,7.4,72.7,,31.8,38.7,9.037091,63.6,0.24
24,24,Maryland,MD,15.4,18,-0.208895903,4,0.75,0.4558,20330,45.5,58.4,0.321502916,2.988492281,4.546186889,4.90552963,1.933236546,0.513376002,0.126046815,0.101348106,0.172662005,0.282092468,0.06452743,0.012122,0.228433,0.017238,0.126747,0.070183,0.321326,61926,0.00,0.78,0.86,0,-0.322635321,26.75,22,63,0.28,21,4.222410974,0.25703217,0.528453377,4.4,4.5,454.1,36,32,33,42,5.3,47.8,39.4,40.2,87.2,11.71105,62,0.16
25,25,Massachusetts,MA,17.3,388,0.089248596,23,0.13,0.4803,20099,35.12,56.7,0.319081576,3.513223161,4.96975792,5.196419608,2.102311573,0.457995115,0.118012018,0.099993151,0.160625371,0.262941679,0.088244258,0.014072,0.240661,0.02422,0.123065,0.060769,0.305111,75258,0.00,0.84,0.79,0.51,-0.006785362,32.5,22,46,0.25,18,4.513563844,0.214873703,0.490487464,4.8,2.2,327.6,26,26,49,57,5.5,61.4,35.7,43.7,92,11.83973,63,0.2
26,26,Michigan,MI,7,434,0.158244347,11,0.75,0.4634,25063,48.93,63.4,0.478372907,3.378752965,4.715263864,4.934459653,2.199747563,0.468534012,0.105136121,0.090028787,0.124285862,0.280738437,0.062818186,0.012018,0.202263,0.015418,0.127256,0.034916,0.332607,47448,0.00,0.80,0.83,-0.91,0.069602817,13.5,17,46,0.27,21,4.121109201,0.180935215,0.42228604,3.9,3.9,437.4,36,29,34,42,4.9,60.6,45.3,29.1,74.6,10.80559,61.4,0.22
27,27,Minnesota,MN,8.4,104,-0.035855136,22,0.5,0.4434,15960,47.84,67.5,0.452849424,3.479214292,4.946526784,5.504260686,2.074622361,0.560093484,0.132227187,0.142492408,0.182895416,0.334483169,0.09028244,0.013387,0.219523,0.020539,0.1248,0.04591,0.326799,60066,0.00,0.80,0.82,-2.63,-0.151084249,30,25,41,0.35,24,4.517558322,0.291184159,0.584373384,5.1,3,236.4,37,28,35,56,6.2,72.5,48.5,36.1,73.3,10.45684,63.2,0.18
28,28,Mississippi,MS,2.1,14,-0.066449846,27,0.88,0.4896,4439,78.86,39.3,0.576029546,3.813789629,4.94422019,5.289160656,2.553422934,0.511993935,0.07477482,0.068688153,0.077013013,0.20611889,0.054364151,0.007585,0.180654,0.013919,0.126624,0.018788,0.357161,35015,0.00,0.80,0.86,1.32,-0.102719227,-3.5,12,64,0.22,15,4.567781148,0.194157618,0.395480767,3.6,6.6,277.9,59,29,12,59,5.8,55.7,,22,49.4,8.910859,61.3,0.2
29,29,Missouri,MO,4.3,83,0.20459624,15,0.88,0.4633,20569,59.6,31,0.567996558,3.679424516,5.073430345,5.061550367,2.151632753,0.502777517,0.116225495,0.130087346,0.168319008,0.291199946,0.075235783,0.01176,0.201871,0.015009,0.143499,0.038468,0.330219,47407,0.00,0.75,0.81,0.29,0.096516319,1.25,18,46,0.28,24,4.603763448,0.211325843,0.508841401,4.5,4,495,39,30,32,49,6,64.7,35.5,29.2,70.4,10.20212,61.7,0.22
30,30,Montana,MT,2.3,32,0.149792479,46,0.88,0.4597,3152,46.11,8,0.569184692,3.34339916,4.853563358,5.208535883,2.060612731,0.595165031,0.125645409,0.16204236,0.196433485,0.338840034,0.110545221,0.014379,0.192577,0.019659,0.130492,0.037004,0.350113,44145,0.00,0.80,0.86,1.81,0.028927244,9,12,31,0.32,28,4.3097677,0.240512065,0.520967415,8.5,3.3,404.9,32,29,39,38,10.3,68.1,,32,55.9,8.470226,63.2,0.21
31,31,Nebraska,NE,7.4,46,0.050710257,48,0.88,0.44,5349,49.65,28.2,0.582241633,3.503764555,5.074085295,5.247870517,2.099889025,0.490531854,0.101518048,0.135526591,0.185665669,0.380066007,0.069102117,0.01079,0.20265,0.013696,0.133793,0.041377,0.339608,59386,0.00,0.79,0.90,0.56,-0.033039901,3.5,21,35,0.34,26,4.339325228,0.21617562,0.585733258,6,3.6,300.9,46,29,25,56,7.5,68.2,,31.9,73.1,10.19912,62.9,0.18
32,32,Nevada,NV,19.8,44,0.324311985,14,0.88,0.471,7693,33.61,40.5,0.476662473,3.153187679,4.641729697,4.754616967,2.337404067,0.373041661,0.068265524,0.070950781,0.122010204,0.154756454,0.033222495,0.013053,0.200623,0.010738,0.138382,0.024479,0.339408,50043,0.00,0.77,0.83,1.09,0.098308434,34.5,23,52,0.20,12,4.396647021,0.148270561,0.327593496,2.4,3.5,493.8,26,33,41,34,2.9,41.2,,24.7,94.2,11.76972,61.8,0.16
33,33,New Hampshire,NH,6.4,16,0.431746759,2,0.75,0.4406,3713,36.97,8.6,0.453562595,3.092490799,4.60817114,4.823335928,1.876487514,0.463680149,0.163298271,0.103372396,0.156285745,0.291600365,0.07085633,0.011009,0.229364,0.015325,0.1448,0.044627,0.303943,57272,0.00,0.77,0.91,-0.38,0.240058699,25.25,16,43,0.29,24,4.063308411,0.241931237,0.51960732,5.6,2,152.5,23,26,51,35,6.3,70.4,,37,60.3,9.917139,62.6,0.22
34,34,New Jersey,NJ,23.4,472,-0.357145044,21,0.5,0.4782,48803,39.48,66.8,0.413965239,3.693764196,4.94318425,5.196895414,2.343321755,0.477203665,0.090707967,0.088241117,0.126350103,0.248223287,0.076785333,0.011209,0.215888,0.017969,0.142564,0.047489,0.322478,63492,0.00,0.80,0.85,1.44,-0.396485894,32,19,59,0.22,18,4.582687382,0.199355697,0.509743716,3.9,2.9,206.9,32,33,36,55,4.6,56.7,39.8,39.7,94.7,12.23565,62.5,0.13
35,35,New Mexico,NM,9.6,50,-0.06776524,31,0.63,0.4768,2705,45.43,28.4,0.434966692,3.544122861,5.038871318,5.176726294,2.497377552,0.487987003,0.104290517,0.105000256,0.163102249,0.256436575,0.100857336,0.010989,0.18564,0.017378,0.140787,0.03799,0.360392,46304,0.00,0.79,0.75,0.77,-0.293105222,26.5,20,51,0.24,19,4.696084786,0.18808453,0.414350782,3.9,3.5,832.2,38,26,36,50,5.1,55.4,,27.3,77.4,9.896993,62.6,0.2
36,36,New York,NY,22.4,611,-0.812991335,16,0.25,0.5149,84108,39.42,63.7,0.374612938,3.427495061,4.887668926,5.048466516,2.165264305,0.428896721,0.081973765,0.066666348,0.109505114,0.203176917,0.075785556,0.023016,0.213932,0.021974,0.141828,0.038461,0.313961,75131,0.00,0.80,0.89,1.59,-0.827876598,34.75,24,53,0.19,12,4.614459114,0.171633829,0.418722154,4.1,3.2,358.6,31,29,40,51,4.9,45.4,40.6,36.6,87.9,12.55857,61.8,0.15
37,37,North Carolina,NC,8.4,210,0.138194657,25,0.88,0.4743,34036,60.67,36.2,0.499343325,3.712071689,5.077938023,5.353833839,2.466230046,0.43114209,0.077134274,0.079052519,0.099007908,0.246823171,0.059973854,0.009881,0.211872,0.012875,0.125104,0.04432,0.325237,48496,0.00,0.80,0.87,-0.05,0.026717099,4.75,19,56,0.26,19,4.569474946,0.209792062,0.472908989,3.7,4.9,371.8,46,31,23,48,5.4,55.3,31,31.3,66.1,10.32481,62.4,0.19
38,38,North Dakota,ND,4.1,18,0.266151439,33,0.88,0.4558,2442,51.44,37.9,0.651140487,3.463737063,4.833374878,5.114118985,2.050701441,0.507885994,0.108512229,0.100352897,0.115192873,0.286886953,0.078462137,0.011909,0.185649,0.014544,0.123264,0.025613,0.395029,70991,0.00,0.78,0.93,3.12,0.202736016,7.75,17,37,0.31,14,4.279283417,0.222127183,0.53933436,6.2,3.6,284.6,40,31,29,67,8.4,71.4,,30,59.9,9.054678,62.9,0.18
39,39,Ohio,OH,4.8,391,0.066323945,18,0.88,0.4651,16876,52.3,63,0.532713001,3.544630489,5.043894704,5.184020167,2.121724938,0.521341935,0.095708885,0.102503184,0.163338415,0.277167822,0.070004166,0.011892,0.193614,0.015818,0.133095,0.037558,0.330043,52664,0.00,0.80,0.76,-3.42,-0.037168023,3.75,16,45,0.27,24,4.351643122,0.206197466,0.521598342,4.5,3.1,293.2,37,30,33,44,5.7,57.8,30.3,28.3,77.9,10.87687,60.9,0.2
40,40,Oklahoma,OK,6.1,28,0.126877292,34,0.88,0.4739,13517,75.03,51.5,0.653732718,3.726966395,5.109682089,5.028452141,2.248872485,0.393735673,0.073072035,0.088508044,0.132128934,0.24244932,0.06912295,0.009983,0.199564,0.015376,0.137924,0.026922,0.33605,50876,0.00,0.80,0.83,2.89,0.12896072,-1,13,42,0.25,20,4.565994266,0.17051529,0.430984935,3.6,5,431.8,45,30,25,59,5.5,55.7,,25.5,66.2,9.93928,60.5,0.23
41,41,Oregon,OR,9.7,175,-0.133394451,5,0.38,0.45,10846,30.07,28.2,0.40367246,3.262637211,5.038488417,5.276285348,1.893093628,0.561862875,0.102201933,0.124713029,0.232571685,0.333667592,0.096427666,0.015897,0.209897,0.020583,0.128631,0.043153,0.319603,52726,0.00,0.77,0.90,-0.5,-0.284958055,31.5,20,33,0.31,28,4.415761992,0.23311274,0.572850189,4.7,3.1,284.4,28,25,48,31,5.7,62.9,60.3,33.7,81,10.71233,62.5,0.25
42,42,Pennsylvania,PA,7,41,0.11629094,26,0.88,0.4745,30490,52.75,39.2,0.48843612,3.564698359,5.074707755,5.237545545,1.85983777,0.522730049,0.104454656,0.135755183,0.189003101,0.349423157,0.094557244,0.010656,0.19015,0.01874,0.1391,0.038243,0.355271,56868,0.00,0.80,0.87,-1.54,0.061865601,16,17,52,0.28,27,4.493236748,0.220342438,0.569341749,4.4,3.1,306.4,36,30,34,54,5.6,62.3,39,31.4,78.7,11.14623,62.1,0.2
44,44,Rhode Island,RI,13.7,17,-0.087407698,30,0.5,0.4628,3150,43.23,41,0.386703805,3.357483718,4.808642954,4.969777358,2.019451682,0.491306592,0.141247169,0.122009655,0.14608652,0.232007852,0.094046445,0.015239,0.207969,0.020293,0.134518,0.039988,0.312219,51963,0.00,0.80,0.84,-2.65,-0.129237007,32.5,15,48,0.23,19,4.288190345,0.18458011,0.540373246,6.8,2.3,221.1,32,29,39,55,7.4,65.2,,34.2,90.7,11.72124,61.3,0.22
45,45,South Carolina,SC,5.6,68,0.032409788,37,1,0.4747,15964,61.39,73.3,0.550934809,3.440326627,4.800472705,5.120061837,2.005826906,0.442659116,0.109791829,0.096648762,0.12152169,0.318282764,0.076524937,0.009304,0.194315,0.013495,0.136597,0.027224,0.328146,41457,0.00,0.79,0.85,0.02,0.018156523,-0.5,14,70,0.23,20,4.096472687,0.212494556,0.500325543,3.7,5.3,511.3,50,30,20,52,5.4,58.4,,28.1,66.3,10.11142,62.3,0.2
46,46,South Dakota,SD,4.1,20,0.258299581,50,0.88,0.436,2980,51.14,19.4,0.617693897,3.31550561,4.74866675,5.047504668,1.943820125,0.503482138,0.16240941,0.130829966,0.127000056,0.367864416,0.058126512,0.012456,0.185288,0.016384,0.137836,0.032143,0.341194,52913,0.00,0.80,0.96,1.52,0.23614829,-2.5,17,36,0.35,31,4.04827698,0.287756076,0.61218054,6.1,4,399,37,30,33,59,8.4,73.1,,28.8,56.7,8.728642,63.7,0.16
47,47,Tennessee,TN,5.5,117,0.263750512,9,1,0.4749,28200,68.81,33.7,0.606602942,3.593497716,5.031567662,5.19467473,2.235891156,0.475905332,0.090773387,0.092623473,0.132881571,0.271237858,0.089391364,0.010756,0.201328,0.012724,0.141287,0.029669,0.331667,48440,0.00,0.79,0.91,1.27,0.277298546,-4,16,56,0.24,21,4.700560975,0.186419774,0.513845783,3.9,5.8,595.2,49,30,22,56,5.7,50,28.6,27.3,66.4,10.19729,61.5,0.22
48,48,Texas,TX,17.1,456,0.092937858,44,0.75,0.4753,85985,67.54,24,0.520576036,3.623647545,5.017755785,5.164377581,2.348051013,0.35551297,0.073985196,0.063679685,0.091207045,0.194407891,0.065694241,0.010663,0.209418,0.010606,0.145907,0.041305,0.328886,61682,0.00,0.80,0.84,3.26,0.13704519,-1.5,21,58,0.23,18,4.597299679,0.157792589,0.422468369,3,4.5,418.9,43,32,25,56,4.1,47.7,34.5,29.9,84.7,11.17488,63.1,0.15
49,49,Utah,UT,8.6,18,0.090734199,49,1,0.4268,7614,49.69,51.8,0.58129839,3.608218124,4.873476668,5.205895864,2.337724031,0.508935302,0.160912568,0.130629198,0.186181472,0.390419997,0.072029519,0.014691,0.230927,0.013383,0.144819,0.048791,0.308367,51407,0.00,0.78,0.92,0.23,0.050245931,13.75,19,61,0.43,48,4.092005158,0.429375042,0.62958218,2.7,7.3,235.6,54,16,30,79,4.7,76.8,,34,90.6,10.96281,62.8,0.22
50,50,Vermont,VT,4.7,33,-0.270456738,1,0.25,0.4471,1767,37.23,26.7,0.303810571,3.323857716,4.75234972,5.180854534,1.921719808,0.57280553,0.226752353,0.197648558,0.218015954,0.370489343,0.139311531,0.017483,0.206925,0.034599,0.125547,0.032892,0.315074,48855,0.00,0.78,0.82,0.46,-0.429289986,34,17,42,0.33,29,4.297848701,0.352195622,0.515763942,8.4,2,202.2,16,26,59,34,9.8,70.1,,38,38.9,8.843222,63.5,0.23
51,51,Virginia,VA,12.7,163,0.173124891,8,1,0.469,24385,57.37,42.2,0.439955037,3.518179272,5.012891694,5.143861441,2.068426625,0.454821832,0.085609386,0.086218532,0.14150002,0.287227259,0.085150808,0.012756,0.22611,0.016036,0.124023,0.068548,0.311867,56938,0.00,0.91,0.83,2.49,0.151694464,18.75,18,60,0.31,21,4.699873403,0.2002588,0.5384367,4.1,3.8,208,38,30,31,45,5.4,58.4,39.2,38.8,75.5,10.90625,62.6,0.17
53,53,Washington,WA,14.9,542,-0.025681149,17,0.5,0.4577,16004,31.06,31.5,0.387669777,3.392765288,5.063721235,5.213593388,1.904467932,0.550019002,0.120599201,0.125708621,0.215150907,0.273850884,0.092333572,0.015289,0.220421,0.01757,0.115915,0.07543,0.313046,69761,0.00,0.80,0.88,1.6,-0.18027639,34.25,25,37,0.31,28,4.527178026,0.217000244,0.529864734,4.2,3.2,293.9,28,26,47,35,5.1,61.4,47.9,36,84.1,11.11933,62.5,0.22
54,54,West Virginia,WV,1.6,31,-0.01907718,6,0.63,0.4644,4566,52.48,37.6,0.686315519,3.642219098,4.806816172,4.904668845,2.288102248,0.390832658,0.08404646,0.086761899,0.087174361,0.249704169,0.039431728,0.007174,0.180649,0.018542,0.133764,0.028049,0.379585,40265,0.00,0.80,0.85,-2.58,-0.143687583,5.5,11,48,0.22,19,4.167678213,0.220578524,0.452172778,4.7,3.5,316.6,38,31,31,36,7.1,60.1,,20.6,48.7,9.111112,58.9,0.25
55,55,Wisconsin,WI,5.1,74,0.074332132,38,0.75,0.4391,18804,46.91,56.5,0.488224373,3.557627359,5.019280641,5.234908939,2.086544783,0.553859797,0.123427712,0.146324347,0.199254598,0.326135615,0.079979083,0.010602,0.188119,0.013173,0.128035,0.038048,0.333434,52534,0.00,0.79,0.84,-1.93,0.02222643,15.5,20,46,0.35,30,4.478300971,0.175086816,0.567801906,5,2.7,293.2,35,30,35,54,6.1,72.3,43,30.1,70.2,10.19131,62.3,0.18
